Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Guaranteed Stop Loss,Take Profit,Trailing Stop,Financing,Commission,GSL Fee,GSL Premium,P/L,Amount,Balance
128,2/28/2020 14:19,CST,ORDER_FILL,STOP_LOSS_ORDER,USD/CNH,6.97878,100,Sell,0.0251,,,,,0,0,0,,-0.8615,,4941.3
129,2/28/2020 14:19,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
130,2/28/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0616,,,,,,4941.24
,2/28/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0506,,,,,,
,2/28/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0.0037,,,,,,
,2/28/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,-0.0147,,,,,,
131,2/29/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4941.24
,2/29/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,0,,,,,,
,2/29/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,2/29/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,0,,,,,,
132,3/1/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4941.24
,3/1/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,0,,,,,,
,3/1/2020 16:00,CST,DAILY_FINANCING,TradeID: 9,EUR/USD,,,,,,,,,0,,,,,,
,3/1/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,0,,,,,,
133,3/2/2020 5:56,CST,ORDER_FILL,STOP_LOSS_ORDER,EUR/USD,1.11149,100,Buy,0.007,,,,,0,0,0,,-2,,4939.24
134,3/2/2020 5:56,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
135,3/2/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0937,,,,,,4939.14
,3/2/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.054,,,,,,
,3/2/2020 16:00,CST,DAILY_FINANCING,TradeID: 108,USD/CNH,,,,,,,,,-0.0397,,,,,,
136,3/3/2020 9:40,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/CNH,6.94866,1250,Buy,0.098,,,,,0,0,0,,17.9981,,4957.14
137,3/3/2020 9:40,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
138,3/3/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.0501,,,,,,4957.09
,3/3/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0501,,,,,,
139,3/4/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1311,,,,,,4956.96
,3/4/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.1311,,,,,,
140,3/5/2020 7:37,CST,MARKET_ORDER,CLIENT_ORDER,USD/MXN,,100,Buy,,19.04,,20.05,,,,,,,,
141,3/5/2020 7:37,CST,ORDER_FILL,MARKET_ORDER,USD/MXN,19.7833,100,Buy,0.0139,,,,,0,0,0,,0,,4956.96
142,3/5/2020 7:37,CST,TAKE_PROFIT_ORDER,ON_FILL,,20.05,,,,,,,,,,,,,,
143,3/5/2020 7:37,CST,STOP_LOSS_ORDER,ON_FILL,,19.04,,,,,,,,,,,,,,
144,3/5/2020 7:38,CST,MARKET_ORDER,CLIENT_ORDER,USD/CZK,,150,Buy,,19,,26,,,,,,,,
145,3/5/2020 7:38,CST,ORDER_FILL,MARKET_ORDER,USD/CZK,22.68593,150,Buy,0.0248,,,,,0,0,0,,0,,4956.96
146,3/5/2020 7:38,CST,TAKE_PROFIT_ORDER,ON_FILL,,26,,,,,,,,,,,,,,
147,3/5/2020 7:38,CST,STOP_LOSS_ORDER,ON_FILL,,19,,,,,,,,,,,,,,
148,3/5/2020 7:46,CST,MARKET_ORDER,CLIENT_ORDER,EUR/USD,,1500,Buy,,1,,1.3,,,,,,,,
149,3/5/2020 7:46,CST,ORDER_FILL,MARKET_ORDER,EUR/USD,1.11822,1500,Buy,0.0975,,,,,0,0,0,,0,,4956.96
150,3/5/2020 7:46,CST,TAKE_PROFIT_ORDER,ON_FILL,,1.3,,,,,,,,,,,,,,
151,3/5/2020 7:46,CST,STOP_LOSS_ORDER,ON_FILL,,1,,,,,,,,,,,,,,
152,3/5/2020 7:46,CST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,,,
153,3/5/2020 7:46,CST,MARKET_ORDER,CLIENT_ORDER,GBP/USD,,1500,Sell,,1.4,,1.2,,,,,,,,
154,3/5/2020 7:46,CST,ORDER_FILL,MARKET_ORDER,GBP/USD,1.29156,1500,Sell,0.1125,,,,,0,0,0,,0,,4956.96
155,3/5/2020 7:46,CST,TAKE_PROFIT_ORDER,ON_FILL,,1.2,,,,,,,,,,,,,,
156,3/5/2020 7:46,CST,STOP_LOSS_ORDER,ON_FILL,,1.4,,,,,,,,,,,,,,
157,3/5/2020 7:46,CST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,,,
158,3/5/2020 7:51,CST,MARKET_ORDER,CLIENT_ORDER,USD/CHF,,2500,Buy,,0.91,,0.958,,,,,,,,
159,3/5/2020 7:51,CST,ORDER_FILL,MARKET_ORDER,USD/CHF,0.95253,2500,Buy,0.1837,,,,,0,0,0,,0,,4956.96
160,3/5/2020 7:51,CST,TAKE_PROFIT_ORDER,ON_FILL,,0.958,,,,,,,,,,,,,,
161,3/5/2020 7:51,CST,STOP_LOSS_ORDER,ON_FILL,,0.91,,,,,,,,,,,,,,
162,3/5/2020 7:51,CST,TRADE_CLIENT_EXTENSIONS_MODIFY,,,,,,,,,,,,,,,,,
163,3/5/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1632,,,,,,4956.8
,3/5/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0442,,,,,,
,3/5/2020 16:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,-0.1325,,,,,,
,3/5/2020 16:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0.0726,,,,,,
,3/5/2020 16:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,-0.0178,,,,,,
,3/5/2020 16:00,CST,DAILY_FINANCING,TradeID: 141,USD/MXN,,,,,,,,,-0.0184,,,,,,
,3/5/2020 16:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,-0.0229,,,,,,
164,3/5/2020 21:14,CST,ORDER_FILL,TAKE_PROFIT_ORDER,USD/MXN,20.05051,100,Sell,0.0312,,,,,0,0,0,,1.3319,,4958.13
165,3/5/2020 21:14,CST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,,,
166,3/6/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1487,,,,,,4957.98
,3/6/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0455,,,,,,
,3/6/2020 16:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,-0.1364,,,,,,
,3/6/2020 16:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0.0747,,,,,,
,3/6/2020 16:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,-0.0163,,,,,,
,3/6/2020 16:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,-0.0252,,,,,,
167,3/7/2020 16:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4957.98
,3/7/2020 16:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,0,,,,,,
,3/7/2020 16:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,0,,,,,,
,3/7/2020 16:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0,,,,,,
,3/7/2020 16:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,0,,,,,,
,3/7/2020 16:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,0,,,,,,
168,3/8/2020 15:00,CST,DAILY_FINANCING,,,,,,,,,,,0,,,,,,4957.98
,3/8/2020 15:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,0,,,,,,
,3/8/2020 15:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,0,,,,,,
,3/8/2020 15:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0,,,,,,
,3/8/2020 15:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,0,,,,,,
,3/8/2020 15:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,0,,,,,,
169,3/9/2020 15:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1718,,,,,,4957.81
,3/9/2020 15:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0467,,,,,,
,3/9/2020 15:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,-0.1402,,,,,,
,3/9/2020 15:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0.0664,,,,,,
,3/9/2020 15:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,-0.026,,,,,,
,3/9/2020 15:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,-0.0253,,,,,,
170,3/10/2020 15:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.1615,,,,,,4957.65
,3/10/2020 15:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.0487,,,,,,
,3/10/2020 15:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,-0.1461,,,,,,
,3/10/2020 15:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0.0767,,,,,,
,3/10/2020 15:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,-0.0243,,,,,,
,3/10/2020 15:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,-0.0191,,,,,,
171,3/11/2020 15:00,CST,DAILY_FINANCING,,,,,,,,,,,-0.4629,,,,,,4957.19
,3/11/2020 15:00,CST,DAILY_FINANCING,TradeID: 65,EUR/USD,,,,,,,,,-0.1374,,,,,,
,3/11/2020 15:00,CST,DAILY_FINANCING,TradeID: 149,EUR/USD,,,,,,,,,-0.4123,,,,,,
,3/11/2020 15:00,CST,DAILY_FINANCING,TradeID: 159,USD/CHF,,,,,,,,,0.1959,,,,,,
,3/11/2020 15:00,CST,DAILY_FINANCING,TradeID: 145,USD/CZK,,,,,,,,,-0.0806,,,,,,
,3/11/2020 15:00,CST,DAILY_FINANCING,TradeID: 154,GBP/USD,,,,,,,,,-0.0285,,,,,,
